Production Date,Model.Suffix,SET_ID,Module_PN,Module,Panel,PSU,PCBA_PN,Mainboard (PCBA),IN_SMT_WO,CLCT_ITEM_CODE,CLCT_ITEM1_VALUE,MAC_ADDRESS
2025-10-14,55UA84006LB.UPEFLWK,510ONGE07223,EAJ30028801,R7BANXJ2E300288015E1E,---,LR5G7659207613442,EBR24455405,IO56K101G2,5GEBR010-005Z,PCBA_SW_VER,33.11.10.01,58960ABAFD81
2025-10-14,55UA84006LB.UPEFLWK,510ONDX07202,EAJ30028801,R7BA9HJ2E300288015D1E,---,LR5LC659207610844,EBR24455405,IO56K1017P,5GEBR010-005Z,PCBA_SW_VER,33.11.10.01,58960AB46D9C
2025-10-14,55UA84006LB.UPEFLWK,510ONBL07213,EAJ30028801,R7BA8NJ2E300288015D1E,---,LR5LC659207611902,EBR24455405,IO56K1019L,5GEBR010-005Z,PCBA_SW_VER,33.11.10.01,58960ABAFE21
2025-10-14,55UA84006LB.UPEFLWK,510ONUH07206,EAJ30028801,R7BA9ZJ2E300288015D1E,---,LR5LC659207611977,EBR24455405,IO56K1018T,5GEBR010-005Z,PCBA_SW_VER,33.11.10.01,58960ABAFD92
2025-10-14,55UA84006LB.UPEFLWK,510ONAG07208,EAJ30028801,R7BA9WJ2E300288015D1E,---,LR5HY659207611471,EBR24455405,IO56K101FH,5GEBR010-005Z,PCBA_SW_VER,33.11.10.01,58960ABAFE27
2025-10-14,55UA84006LB.UPEFLWK,510ONVC07215,EAJ30028801,R7BA7VJ2E300288015D1E,---,LR5G7659207613578,EBR24455405,IO56K1016S,5GEBR010-005Z,PCBA_SW_VER,33.11.10.01,58960AB46B6D
2025-10-14,55UA84006LB.UPEFLWK,510ONPM07216,EAJ30028801,R7B9JKJ2E300288015D1E,---,LR5G7659207613582,EBR24455405,IO56K1018M,5GEBR010-005Z,PCBA_SW_VER,33.11.10.01,58960ABAFD76
2025-10-14,55UA84006LB.UPEFLWK,510ONYZ07218,EAJ30028801,R7BA83J2E300288015D1E,---,LR5FC659207612066,EBR24455405,IO56K101AK,5GEBR010-005Z,PCBA_SW_VER,33.11.10.01,58960ABAFE15
2025-10-14,55UA84006LB.UPEFLWK,510ONSY07222,EAJ30028801,R7BANRJ2E300288015D1E,---,LR5MC659207613292,EBR24455405,IO56K101AP,5GEBR010-005Z,PCBA_SW_VER,33.11.10.01,58960ABAFD37
2025-10-14,55UA84006LB.UPEFLWK,510ONHT07217,EAJ30028801,R7BA89J2E300288015D1E,---,LR5HY659207611475,EBR24455405,IO56K101G1,5GEBR010-005Z,PCBA_SW_VER,33.11.10.01,58960ABAFDA4
2025-10-14,55UA84006LB.UPEFLWK,510ONQN07220,EAJ30028801,R7BA8KJ2E300288015D1E,---,LR5HY659207611474,EBR24455405,IO56K1017D,5GEBR010-005Z,PCBA_SW_VER,33.11.10.01,58960AB46EC3
2025-10-14,55UA84006LB.UPEFLWK,510ONZU07221,EAJ30028801,R7BA86J2E300288015D1E,---,LR5HY659207611476,EBR24455405,IO56K101A2,5GEBR010-005Z,PCBA_SW_VER,33.11.10.01,58960ABAFDE3
2025-10-14,55UA84006LB.UPEFLWK,510ONRS07238,EAJ30028801,R7BAM4J2E300288015D1E,---,LR5LC659207611479,EBR24455405,IO56K101A7,5GEBR010-005Z,PCBA_SW_VER,33.11.10.01,58960ABAFCF9
2025-10-14,55UA84006LB.UPEFLWK,510ONLQ07224,EAJ30028801,R7BANUJ2E300288015D1E,---,LR5HY659207611480,EBR24455405,IO56K100VR,5GEBR010-005Z,PCBA_SW_VER,33.11.10.01,58960AB47774
2025-10-14,55UA84006LB.UPEFLWK,510ONMP07227,EAJ30028801,R7BAPQJ2E300288015E1E,---,LR56Y659207612116,EBR24455405,IO56K100K6,5GEBR010-005Z,PCBA_SW_VER,33.11.10.01,58960AB47E79
2025-10-14,55UA84006LB.UPEFLWK,510ONXA07234,EAJ30028801,R7BAMHJ2E300288015D1E,---,LR56Y659207612139,EBR24455405,IO56K1015Y,5GEBR010-005Z,PCBA_SW_VER,33.11.10.01,58960AB46C50
