PROD_DATE,LG SERIAL NUMBER,PCBA_SN,MAC_ADDRESS
2025-04-11,504IKLU04152,AC548110Q1,00A1591476BB
2025-04-11,504IKTY04153,AC5481104P,00A15913C88D
2025-04-11,504IKDE04154,AC5481103Z,00A15913C8F6
2025-04-11,504IKMQ04155,AC54811057,00A15913C8CC
2025-04-11,504IKEV04156,AC548110E1,00A159147715
2025-04-11,504IKKX04157,AC548110ND,00A159147638
2025-04-11,504IKUP04158,AC548110SB,00A1591476C7
2025-04-11,504IKNF04159,AC54811052,00A15913C888
2025-04-12,504IKAW04160,AC548110FB,00A15913C7BA
2025-04-11,504IKWH04161,AC548110HC,00A15913C723
2025-04-11,504IKFG04163,AC5481109S,00A15913C8B4
2025-04-11,504IKJR04164,AC548110ED,00A15913C7A4
2025-04-12,504IKBA04165,AC548110M2,00A15913C6EF
2025-04-11,504IKRJ04166,AC5481106M,00A15913C864
2025-04-11,504IKVK04167,AC548110SC,00A15913C762
2025-04-11,504IKPL04168,AC5481105W,00A1591477C9
2025-04-11,504IKHS04169,AC548110JY,00A1591476A3
2025-04-11,504IKYC04170,AC548110MJ,00A15913C6E8
2025-04-12,504IKCM04171,AC5481102F,00A15913C951
2025-04-11,504IKQT04172,AC5481107H,00A15913C865
2025-04-11,504IKZZ04173,AC548110Q0,00A15913C758
2025-04-11,504IKSD04174,AC5481102W,00A15913C93C
2025-04-11,504IKGN04175,AC5481109Z,00A159147732
2025-04-11,504IKLU04176,AC548110S5,00A15913C765
2025-04-11,504IKTY04177,AC52E1101H,00A1591477B3
2025-04-11,504IKDE04178,AC5481103Y,00A15913C8F5
2025-04-11,504IKMQ04179,AC5481105B,00A15913C8C9
2025-04-11,504IKEV04180,AC548110DV,00A159147712
2025-04-11,504IKKX04181,AC548110LM,00A15913C6D9
2025-04-11,504IKUP04182,AC548110GK,00A1591476F1
2025-04-11,504IKNF04183,AC548110B5,00A15913C875
2025-04-12,504IKAW04184,AC548110FD,00A15913C7BB
2025-04-11,504IKWH04185,AC548110KL,00A15913C73C
2025-04-11,504IKFG04187,AC5481109R,00A15913C8B3
2025-04-11,504IKJR04188,AC548110E9,00A15913C7A2
2025-04-12,504IKBA04189,AC548110LV,00A15913C6F2
2025-04-11,504IKRJ04190,AC5481107G,00A1591477A6
2025-04-11,504IKVK04191,AC548110S9,00A1591476C8
2025-04-11,504IKPL04192,AC548110AU,00A1591477C4
2025-04-11,504IKHS04193,AC548110PK,00A1591476D5
2025-04-11,504IKYC04194,AC548110H4,00A159147697
2025-04-12,504IKCM04195,AC5481102H,00A15913C953
2025-04-11,504IKQT04196,AC5481107D,00A1591477A8
2025-04-11,504IKZZ04197,AC548110KP,00A15913C74B
2025-04-11,504IKSD04198,AC5481103T,00A15913C938
2025-04-11,504IKGN04199,AC548110A2,00A15913C7F5
2025-04-11,504IKLU04200,AC548110S3,00A15913C766
2025-04-11,504IKTY04201,AC54811073,00A15913C86B
2025-04-11,504IKDE04202,AC5481103X,00A15913C8F4
2025-04-11,504IKMQ04203,AC54811058,00A15913C8CB
2025-04-11,504IKEV04204,AC548110D1,00A15913C7D2
2025-04-11,504IKKX04205,AC548110NG,00A159147636
2025-04-11,504IKUP04206,AC548110GL,00A15913C7AF
2025-04-11,504IKNF04207,AC5481104K,00A15913C88C
2025-04-12,504IKAW04208,AC548110BL,00A15914771E
2025-04-11,504IKXB04210,AC548110QG,00A15913C70B
2025-04-11,504IKFG04211,AC5481109Q,00A15913C8B2
2025-04-11,504IKJR04212,AC52E11015,00A15913C786
2025-04-12,504IKBA04213,AC5481104D,00A15913C905
2025-04-11,504IKRJ04214,AC5481107F,00A1591477A7
2025-04-11,504IKVK04215,AC548110SA,00A15913C763
2025-04-11,504IKPL04216,AC548110PE,00A15913C771
2025-04-11,504IKHS04217,AC548110PH,00A1591476D6
2025-04-11,504IKYC04218,AC548110RA,00A159147679
2025-04-12,504IKCM04219,AC5481102N,00A15913C958
2025-04-11,504IKQT04220,AC5481106H,00A15913C895
2025-04-11,504IKZZ04221,AC548110KU,00A15913C748
2025-04-11,504IKSD04222,AC54811076,00A1591477AC
2025-04-11,504IKGN04223,AC5481109Y,00A15913C7F3
2025-04-11,504IKLU04224,AC548110Q2,00A15913C757
2025-04-11,504IKTY04225,AC52E1101D,00A15913C86E
2025-04-11,504IKDE04226,AC54811093,00A15913C8BF
2025-04-11,504IKMQ04227,AC5481105D,00A15913C8C7
2025-04-11,504IKEV04228,AC548110E2,00A15913C7D1
2025-04-11,504IKKX04229,AC548110NB,00A15913C6DB
2025-04-11,504IKNF04231,AC548110B8,00A15913C877
2025-04-12,504IKAW04232,AC548110FH,00A15913C7BD
2025-04-11,504IKXB04234,AC548110QM,00A15914766A
2025-04-11,504IKFG04235,AC5481109P,00A15913C8B1
2025-04-11,504IKJR04236,AC548110SD,00A1591476C6
2025-04-12,504IKBA04237,AC5481104E,00A15913C906
2025-04-11,504IKRJ04238,AC548110C5,00A15913C7EB
2025-04-11,504IKVK04239,AC548110S7,00A1591476C9
2025-04-11,504IKPL04240,AC548110PD,00A1591476D8
2025-04-11,504IKHS04241,AC548110JZ,00A15913C740
2025-04-11,504IKYC04242,AC548110HL,00A15913C732
2025-04-12,504IKCM04243,AC54811015,00A15913C96F
2025-04-11,504IKQT04244,AC5481106G,00A15913C896
2025-04-11,504IKZZ04245,AC548110K7,00A1591476AE
2025-04-11,504IKSD04246,AC5481104Y,00A15913C898
2025-04-11,504IKGN04247,AC548110A0,00A15913C7F4
2025-04-11,504IKLU04248,AC548110Q6,00A15913C755
2025-04-11,504IKTY04249,AC52E1100P,00A159147793
2025-04-11,504IKDE04250,AC54811092,00A15913C8BE
2025-04-11,504IKMQ04251,AC5481105A,00A15913C8CA
2025-04-11,504IKEV04252,AC548110DY,00A15913C7CF
2025-04-11,504IKKX04253,AC548110NH,00A15913C6D8
2025-04-11,504IKNF04255,AC548110B7,00A1591477BB
2025-04-12,504IKAW04256,AC548110FF,00A15913C7BC
2025-04-12,504IKWH04257,AC548110FA,00A1591476FD
2025-04-11,504IKXB04258,AC548110JK,00A15914767D
2025-04-11,504IKFG04259,AC5481109J,00A15913C8AC
2025-04-11,504IKJR04260,AC548110SE,00A15913C761
2025-04-12,504IKBA04261,AC5481104F,00A15913C907
2025-04-11,504IKRJ04262,AC548110EN,00A15913C7C8
2025-04-11,504IKVK04263,AC548110S8,00A15913C764
