Organization,Shop,Production Line,Equipment Line,Work Order,Model.Suffix,Box,Set,Wip,Buyer S/No,Rework,OQC_SMPLG_FLAG,Input Time,Out Time,Box Weight,Box Weight Result,Box Weight Time,MAC Address,Off Line history,ACCBAG_1,BOXCARTON_1,CARD_1,ENERGYLBL_1,ENERGYLBL_2,MANUAL_1,MANUAL_2,MANUAL_3,MANUAL_4,MANUAL_5,MOD_1,PANEL_1,PCBG_MAIN_1,POWERCORD_1,PSU_1,REMOCON_1,STREAMER_1,WARRANTY_1,Uploaded Panel,Repair Flag,이슈 제번,MAC_ADDRESS,LOAD_DATE
AP4,Final Assembly,L01,L01,5G2L0005,75QNED8GA6A.BTRDLJL,33758506247045TRDLJL,506PLZU247045,,506PLZU247045,N,,2025-06-16 11:23:58.445,2025-06-16 11:35:26.622,,,,58:96:0A:95:42:03,,5G2L0005.L3145150200050,MAY06793416,MBM63882538,MEZ00765911,MEZ00766011,MFL702659802501REV00,MFL718339832501REV00,MFL719001062501REV00,,,R5H7FJJ3E65947101QU45,,LD56D1008J,EAD65969409IUK55W3584,SR4AA659207311137,AKB76046609IH354WK145,MEZ00766501,MBM675057042505REV01,,,,58960A954203,2025-06-27 09:45:44
AP4,Final Assembly,L01,L01,5G2L0005,75QNED8GA6A.BTRDLJL,33758506246997TRDLJL,506PLZU246997,,506PLZU246997,N,,2025-06-16 10:52:15.140,2025-06-16 11:00:13.890,,,,58:96:0A:95:44:3D,,5G2L0005.L3145150200092,MAY06793416,MBM63882538,MEZ00765911,MEZ00766011,MFL702659802501REV00,MFL718339832501REV00,MFL719001062501REV00,,,R5H6M1J3E65947101QU45,TJ527649AD01-,LD56D100MW,EAD65969409IUK55W3616,SR4FA659207310425,AKB76046609IH354WK107,MEZ00766501,MBM675057042505REV01,,,,58960A95443D,2025-06-26 04:46:13
AP4,Final Assembly,L01,L01,5G2L0735,75QNED8GA6A.BTRDLJL,33758506163594TRDLJL,506PLYZ163594,,506PLYZ163594,N,,2025-06-02 15:11:03.872,2025-06-02 15:23:14.165,,,,58:96:0A:79:49:3B,,5G2L0735.L3145150200013,MAY06793416,MBM63882538,MEZ00765911,MEZ00766011,MFL702659802501REV00,MFL718339832501REV00,MFL719001062501REV00,,,R4S4ZEJ3E65947101QU45,,LD561102RY,EAD65969409IUK55T1477,SR32A659207311232,AKB76046609IH354FS577,MEZ00766501,MBM675057042501REV00,,,,58960A79493B,2025-06-05 11:00:24
AP4,Final Assembly,L01,L01,5G2L0005,75QNED8GA6A.BTRDLJL,33758506247034TRDLJL,506PLXA247034,,506PLXA247034,N,,2025-06-16 11:17:31.047,2025-06-16 11:25:51.445,,,,58:96:0A:95:46:10,,5G2L0005.L3145150200060,MAY06793416,MBM63882538,MEZ00765911,MEZ00766011,MFL702659802501REV00,MFL718339832501REV00,MFL719001062501REV00,,,R5F7C1J3E65947101QU45,,LD56D100P4,EAD65969409IUK55Q3575,SR4AA659207312717,AKB76046609IH354WK066,MEZ00766501,MBM675057042505REV01,,,,58960A954610,2025-06-27 09:45:44
AP4,Final Assembly,L01,L01,5G2L0005,75QNED8GA6A.BTRDLJL,33758506247057TRDLJL,506PLWR247057,,506PLWR247057,N,,2025-06-16 11:33:52.666,2025-06-16 11:42:05.232,,,,58:96:0A:95:42:09,,5G2L0005.L3145150200005,MAY06793416,MBM63882538,MEZ00765911,MEZ00766011,MFL702659802501REV00,MFL718339832501REV00,MFL719001062501REV00,,,R5F6WXJ3E65947101QU45,,LD56D1008L,EAD65969409IUK55Q3605,SR49A659207310845,AKB76046609IH354WL964,MEZ00766501,MBM675057042505REV01,,,,58960A954209,2025-06-27 09:48:31
AP4,Final Assembly,L01,L01,5G2L0005,75QNED8GA6A.BTRDLJL,33758506247033TRDLJL,506PLWR247033,,506PLWR247033,N,,2025-06-16 11:16:59.988,2025-06-16 11:25:21.653,,,,58:96:0A:95:45:FF,,5G2L0005.L3145150200039,MAY06793416,MBM63882538,MEZ00765911,MEZ00766011,MFL702659802501REV00,MFL718339832501REV00,MFL719001062501REV00,,,R5F7BYJ3E65947101QU45,TJ524964AX02-,LD56D100P1,EAD65969409IUK55W0486,SR4FA659207311706,AKB76046609IH354WK138,MEZ00766501,MBM675057042505REV01,,,,58960A9545FF,2025-06-27 10:25:17
AP4,Final Assembly,L01,L01,5G2L0735,75QNED8GA6A.BTRDLJL,33758506163561TRDLJL,506PLWR163561,,506PLWR163561,N,,2025-06-02 14:33:29.542,2025-06-02 14:49:31.939,,,,58:96:0A:79:48:E9,,5G2L0735.L3145150200076,MAY06793416,MBM63882538,MEZ00765911,MEZ00766011,MFL702659802501REV00,MFL718339832501REV00,MFL719001062501REV00,,,R4S4U3J3E65947101QD45,TJ527611AX01-,LD561102PG,EAD65969409IUK55T1896,SR33A659207310529,AKB76046609IH354FS540,MEZ00766501,MBM675057042501REV00,,,,58960A7948E9,2025-06-04 04:40:57
AP4,Final Assembly,L01,L01,5G2L0005,75QNED8GA6A.BTRDLJL,33758506247039TRDLJL,506PLVC247039,,506PLVC247039,N,Y,2025-06-16 11:20:18.786,2025-06-16 11:28:48.777,,,,58:96:0A:95:42:EF,,5G2L0005.L3145150200071,MAY06793416,MBM63882538,MEZ00765911,MEZ00766011,MFL702659802501REV00,MFL718339832501REV00,MFL719001062501REV00,,,R5F7CQJ3E65947101QU45,TJ527885AQ04-,LD56D10096,EAD65969409IUK55W0506,SR4AA659207311967,AKB76046609IH354WK083,MEZ00766501,MBM675057042505REV01,,,,58960A9542EF,2025-06-29 11:47:11
AP4,Final Assembly,L01,L01,5G2L0005,75QNED8GA6A.BTRDLJL,33758506247015TRDLJL,506PLVC247015,,506PLVC247015,N,,2025-06-16 11:06:06.258,2025-06-16 11:12:57.233,,,,58:96:0A:95:41:A3,,5G2L0005.L3145150200100,MAY06793416,MBM63882538,MEZ00765911,MEZ00766011,MFL702659802501REV00,MFL718339832501REV00,MFL719001062501REV00,,,R5F7ARJ3E65947101QU45,,LD56D1008C,EAD65969409IUK55W0509,SR49A659207312027,AKB76046609IH354WK042,MEZ00766501,MBM675057042505REV01,,,,58960A9541A3,2025-06-26 04:54:24
AP4,Final Assembly,L01,L01,5G2L0005,75QNED8GA6A.BTRDLJL,33758506247030TRDLJL,506PLUH247030,,506PLUH247030,N,,2025-06-16 11:15:18.940,2025-06-16 11:23:46.840,,,,58:96:0A:95:44:1D,,5G2L0005.L3145150200072,MAY06793416,MBM63882538,MEZ00765911,MEZ00766011,MFL702659802501REV00,MFL718339832501REV00,MFL719001062501REV00,,,R5F7DLJ3E65947101QU45,,LD56D100MD,EAD65969409IUK55W3617,SR4FA659207312480,AKB76046609IH354WK127,MEZ00766501,MBM675057042505REV01,,,,58960A95441D,
